title,url,view,extra,eps
Mushoku no Eiyuu: Betsu ni Skill Nanka Iranakattan da ga,https://animevietsub.show/phim/mushoku-no-eiyuu-betsu-ni-skill-nanka-iranakattan-da-ga-a5748/,"Lượt xem: 113,227",8.4,TẬP02
Thần Ấn Vương Toạ,https://animevietsub.show/phim/than-an-vuong-toa-a4567/,"Lượt xem: 13,437,129",9,TẬP179
Cats Eye,https://animevietsub.show/phim/catseye-a5770/,"Lượt xem: 30,936",9.3,TẬP01
Linh Kiếm Tôn,https://animevietsub.show/phim/linh-kiem-ton-a3396/,"Lượt xem: 7,450,267",7.3,TẬP635
Vô Thượng Thần Đế,https://animevietsub.show/phim/vo-thuong-than-de-a3821/,"Lượt xem: 6,977,189",6.8,TẬP530
Nghịch Thiên Chí Tôn,https://animevietsub.show/phim/nghich-thien-chi-ton-a4194/,"Lượt xem: 6,520,659",6.9,TẬP449
Linh Võ Đại Lục,https://animevietsub.show/phim/linh-vo-dai-luc-a5386/,"Lượt xem: 591,577",7.5,TẬP113
Luyện Khí Mười Vạn Năm,https://animevietsub.show/phim/luyen-khi-muoi-van-nam-a4897/,"Lượt xem: 11,486,242",9,TẬP281
Thôn Phệ Tinh Không Phần 2,https://animevietsub.show/phim/thon-phe-tinh-khong-phan-2-a4421/,"Lượt xem: 10,307,034",9,TẬP191
Võ Thần Chúa Tể,https://animevietsub.show/phim/vo-than-chua-te-a3825/,"Lượt xem: 10,711,349",8.2,TẬP586
Thanh Gươm Diệt Quỷ: Đường Đến Làng Rèn Gươm,https://animevietsub.show/phim/thanh-guom-diet-quy-duong-den-lang-ren-guom-i3-a4296/,"Lượt xem: 2,062,813",6,
Chainsaw Man Movie: Reze-hen,https://animevietsub.show/phim/chainsaw-man-movie-reze-hen-a5773/,"Lượt xem: 183,462",9.6,
Thanh Kiếm Của Thợ Săn Quỷ,https://animevietsub.show/phim/kijin-gentoushou-a5580/,"Lượt xem: 3,544,847",9.5,HOÀNTẤT
Hotel Inhumans,https://animevietsub.show/phim/hotel-inhumans-a5694/,"Lượt xem: 268,643",9.6,HOÀNTẤT
Yêu Thần Ký,https://animevietsub.show/phim/yeu-than-ky-a2981/,"Lượt xem: 7,030,137",8,TẬP404
Vạn Giới Độc Tôn,https://animevietsub.show/phim/van-gioi-doc-ton-a4090/,"Lượt xem: 6,157,151",6.8,TẬP369
Đấu Phá Thương Khung Phần 5,https://animevietsub.show/phim/dau-pha-thuong-khung-phan-5-a4673/,"Lượt xem: 19,319,015",9,TẬP166
Phàm Nhân Tu Tiên: Tinh Hải Phi Trì,https://animevietsub.show/phim/pham-nhan-tu-tien-tinh-hai-phi-tri-a5035/,"Lượt xem: 4,186,670",8.9,TẬP88
Tiên Nghịch,https://animevietsub.show/phim/tien-nghich-a5085/,"Lượt xem: 12,837,469",9.1,TẬP108
One Piece - Đảo Hải Tặc,https://animevietsub.show/phim/dao-hai-tac-one-piece-a1/,"Lượt xem: 227,795,580",9.3,TẬP1145
Gachiakuta,https://animevietsub.show/phim/gachiakuta-a5665/,"Lượt xem: 3,619,573",9.6,TẬP12
Khải Huyền Dị Giới Mynoghra: Chinh Phục Thế Giới Từ Nền Văn Minh Suy Tàn,https://animevietsub.show/phim/isekai-mokushiroku-mynoghra-hametsu-no-bunmei-de-hajimeru-sekai-seifuku-a5666/,"Lượt xem: 1,504,622",9.1,HOÀNTẤT
Yasei no Last Boss ga Arawareta!,https://animevietsub.show/phim/yasei-no-last-boss-ga-arawareta-a5771/,"Lượt xem: 88,065",9.3,TẬP01
Kaijuu 8-gou 2nd Season,https://animevietsub.show/phim/kaijuu-8-gou-2nd-season-a5671/,"Lượt xem: 5,197,323",9.6,HOÀNTẤT
Tougen Anki,https://animevietsub.show/phim/tougen-anki-a5698/,"Lượt xem: 1,105,888",9,TẬP12
Lupin III vs. Cat's Eye,https://animevietsub.show/phim/lupin-iii-vs-cats-eye-a5769/,"Lượt xem: 22,812",5.5,
Thế Giới Hoàn Mỹ,https://animevietsub.show/phim/the-gioi-hoan-my-a4098/,"Lượt xem: 21,490,002",8.8,TẬP234
Đấu La Đại Lục 2: Tuyệt thế Đường Môn,https://animevietsub.show/phim/dau-la-dai-luc-2-tuyet-the-duong-mon-a4948/,"Lượt xem: 7,721,661",8.2,TẬP120
Thần Mộ,https://animevietsub.show/phim/than-mo-a4653/,"Lượt xem: 1,310,270",8.3,TẬP52
Mizu Zokusei no Mahoutsukai,https://animevietsub.show/phim/mizu-zokusei-no-mahoutsukai-a5685/,"Lượt xem: 2,222,777",9.1,HOÀNTẤT
Towa no Yuugure,https://animevietsub.show/phim/towa-no-yuugure-a5732/,"Lượt xem: 55,169",9.6,TẬP00
Jigoku Sensei Nube (2025),https://animevietsub.show/phim/jigoku-sensei-nube-2025-a5654/,"Lượt xem: 286,606",9.6,HOÀNTẤT
Tate no Yuusha no Nariagari Season 4,https://animevietsub.show/phim/tate-no-yuusha-no-nariagari-season-4-a5378/,"Lượt xem: 1,764,032",8.9,HOÀNTẤT
Busamen Gachi Fighter,https://animevietsub.show/phim/busamen-gachi-fighter-a5692/,"Lượt xem: 654,263",8.8,HOÀNTẤT
