title,url,view,extra,eps
Yano-kun no Futsuu no Hibi,https://animevietsub.show/phim/yano-kun-no-futsuu-no-hibi-a5730/,"Lượt xem: 6,793",9.4,TẬP01
Cat's♥Eye,https://animevietsub.show/phim/catseye-a5770/,"Lượt xem: 16,291",6.4,TẬP1
Nhật Ký Du Hành Dị Giới Của Nhà Thu Thập Nguyên Liệu,https://animevietsub.show/phim/sozai-saishuka-no-isekai-ryokouki-a5742/,"Lượt xem: 73,795",7.8,TẬP01
"Một Ngày Nọ, Mình Bỗng Dưng Trở Thành Công Chúa",https://animevietsub.show/phim/aru-hi-ohimesama-ni-natte-shimatta-ken-ni-tsuite-a5772/,"Lượt xem: 25,419",9.8,TẬP03
City The Animation,https://animevietsub.show/phim/city-the-animation-a5696/,"Lượt xem: 250,287",9.5,HOÀNTẤT
Nukitashi the Animation,https://animevietsub.show/phim/nukitashi-the-animation-a5706/,"Lượt xem: 1,015,543",7.9,HOÀNTẤT
Game Center Shoujo to Ibunka Kouryuu,https://animevietsub.show/phim/game-center-shoujo-to-ibunka-kouryuu-a5651/,"Lượt xem: 322,019",9.2,HOÀNTẤT
Doraemon New  TV Series,https://animevietsub.show/phim/doraemon-new-series-i2-a908/,"Lượt xem: 21,922,693",9.3,TẬP882
One Piece - Đảo Hải Tặc,https://animevietsub.show/phim/dao-hai-tac-one-piece-a1/,"Lượt xem: 227,688,337",9.3,TẬP1145
Hoa Thơm Kiêu Hãnh,https://animevietsub.show/phim/kaoru-hana-wa-rin-to-saku-a5670/,"Lượt xem: 5,692,267",9.5,HOÀNTẤT
Seishun Buta Yarou wa Santa Claus no Yume wo Minai,https://animevietsub.show/phim/seishun-buta-yarou-wa-santa-claus-no-yume-wo-minai-a5668/,"Lượt xem: 1,565,628",9.7,HOÀNTẤT
Watari-kun no xx ga Houkai Sunzen,https://animevietsub.show/phim/watari-kun-no-xx-ga-houkai-sunzen-a5656/,"Lượt xem: 458,505",8.9,TẬP12
Thám Tử Lừng Danh Conan,https://animevietsub.show/phim/tham-tu-lung-danh-conan-a3/,"Lượt xem: 78,857,666",9.4,TẬP1177
Busu ni Hanataba wo.,https://animevietsub.show/phim/busu-ni-hanataba-wo-a5647/,"Lượt xem: 301,891",9,HOÀNTẤT
Lupin III vs. Cat's Eye,https://animevietsub.show/phim/lupin-iii-vs-cats-eye-a5769/,"Lượt xem: 21,968",5.5,
Futari Solo Camp,https://animevietsub.show/phim/futari-solo-camp-a5648/,"Lượt xem: 259,850",9.4,TẬP12
Dr. Stone 4th Season,https://animevietsub.show/phim/dr-stone-4th-season-i3-a5533/,"Lượt xem: 8,269,953",9.8,TẬP24
Karaoke Iko!,https://animevietsub.show/phim/karaoke-iko-a5708/,"Lượt xem: 123,011",8.6,HOÀNTẤT
