title,url,view,extra,eps
Luyện Khí Mười Vạn Năm,https://animevietsub.show/phim/luyen-khi-muoi-van-nam-a4897/,"Lượt xem: 11,432,580",9,TẬP279
Linh Kiếm Tôn,https://animevietsub.show/phim/linh-kiem-ton-a3396/,"Lượt xem: 7,411,562",7.3,TẬP633
Võ Thần Chúa Tể,https://animevietsub.show/phim/vo-than-chua-te-a3825/,"Lượt xem: 10,670,932",8.2,TẬP584
Vạn Giới Độc Tôn,https://animevietsub.show/phim/van-gioi-doc-ton-a4090/,"Lượt xem: 6,128,850",6.9,TẬP367
Nghịch Thiên Chí Tôn,https://animevietsub.show/phim/nghich-thien-chi-ton-a4194/,"Lượt xem: 6,480,374",6.9,TẬP447
Thôn Phệ Tinh Không Phần 2,https://animevietsub.show/phim/thon-phe-tinh-khong-phan-2-a4421/,"Lượt xem: 10,251,355",9,TẬP190
Thanh Kiếm Của Thợ Săn Quỷ,https://animevietsub.show/phim/kijin-gentoushou-a5580/,"Lượt xem: 3,352,936",9.5,TẬP23
Hotel Inhumans,https://animevietsub.show/phim/hotel-inhumans-a5694/,"Lượt xem: 239,739",9.6,TẬP12
Vô Thượng Thần Đế,https://animevietsub.show/phim/vo-thuong-than-de-a3821/,"Lượt xem: 6,934,909",6.8,TẬP527
Linh Võ Đại Lục,https://animevietsub.show/phim/linh-vo-dai-luc-a5386/,"Lượt xem: 568,984",7.5,TẬP111
Tiên Nghịch,https://animevietsub.show/phim/tien-nghich-a5085/,"Lượt xem: 12,727,226",9.1,TẬP107
One Piece - Đảo Hải Tặc,https://animevietsub.show/phim/dao-hai-tac-one-piece-a1/,"Lượt xem: 226,555,084",9.3,TẬP1144
Busamen Gachi Fighter,https://animevietsub.show/phim/busamen-gachi-fighter-a5692/,"Lượt xem: 622,624",8.9,HOÀNTẤT
Gachiakuta,https://animevietsub.show/phim/gachiakuta-a5665/,"Lượt xem: 3,152,134",9.6,TẬP11
Nyaight of the Living Cat,https://animevietsub.show/phim/nyaight-of-the-living-cat-a5691/,"Lượt xem: 179,950",8.7,HOÀNTẤT
Khải Huyền Dị Giới Mynoghra: Chinh Phục Thế Giới Từ Nền Văn Minh Suy Tàn,https://animevietsub.show/phim/isekai-mokushiroku-mynoghra-hametsu-no-bunmei-de-hajimeru-sekai-seifuku-a5666/,"Lượt xem: 1,362,100",9.2,TẬP12
Witch Watch,https://animevietsub.show/phim/witch-watch-a5579/,"Lượt xem: 2,756,034",9.6,TẬP24
Đấu Phá Thương Khung Phần 5,https://animevietsub.show/phim/dau-pha-thuong-khung-phan-5-a4673/,"Lượt xem: 19,258,752",9,TẬP165
"Pháp Sư Trắng Bị Loại Khỏi Tổ Đội, Được Mạo Hiểm Giả Cấp S Đón Nhận",https://animevietsub.show/phim/yuusha-party-wo-tsuihou-sareta-shiromadoushi-s-rank-boukensha-ni-hirowareru-kono-shiromadoushi-ga-kikakugai-sugiru-a5664/,"Lượt xem: 1,026,143",7.5,HOÀNTẤT
Kaijuu 8-gou 2nd Season,https://animevietsub.show/phim/kaijuu-8-gou-2nd-season-a5671/,"Lượt xem: 4,384,293",9.6,TẬP10
Pokemon (2023),https://animevietsub.show/phim/pokemon-2023-a4926/,"Lượt xem: 4,392,896",7.8,TẬP111
Yêu Thần Ký,https://animevietsub.show/phim/yeu-than-ky-a2981/,"Lượt xem: 6,971,966",8,TẬP401
Phàm Nhân Tu Tiên: Tinh Hải Phi Trì,https://animevietsub.show/phim/pham-nhan-tu-tien-tinh-hai-phi-tri-a5035/,"Lượt xem: 4,136,580",8.9,TẬP87
Đấu La Đại Lục 2: Tuyệt thế Đường Môn,https://animevietsub.show/phim/dau-la-dai-luc-2-tuyet-the-duong-mon-a4948/,"Lượt xem: 7,681,013",8.2,TẬP119
Tougen Anki,https://animevietsub.show/phim/tougen-anki-a5698/,"Lượt xem: 973,587",9,TẬP11
Thần Mộ,https://animevietsub.show/phim/than-mo-a4653/,"Lượt xem: 1,285,249",8.3,TẬP51
Mizu Zokusei no Mahoutsukai,https://animevietsub.show/phim/mizu-zokusei-no-mahoutsukai-a5685/,"Lượt xem: 1,956,948",9.2,TẬP11
Dandadan 2nd Season,https://animevietsub.show/phim/dandadan-2nd-season-a5540/,"Lượt xem: 3,328,885",9.7,HOÀNTẤT
Onmyou Kaiten Re:Birth,https://animevietsub.show/phim/onmyou-kaiten-rebirth-a5683/,"Lượt xem: 380,130",9.3,HOÀNTẤT
Thế Giới Hoàn Mỹ,https://animevietsub.show/phim/the-gioi-hoan-my-a4098/,"Lượt xem: 21,434,253",8.8,TẬP233
Jigoku Sensei Nube (2025),https://animevietsub.show/phim/jigoku-sensei-nube-2025-a5654/,"Lượt xem: 258,442",9.6,TẬP12
Tsuyokute New Saga,https://animevietsub.show/phim/tsuyokute-new-saga-a5662/,"Lượt xem: 697,599",8.3,HOÀNTẤT
Thần Ấn Vương Toạ,https://animevietsub.show/phim/than-an-vuong-toa-a4567/,"Lượt xem: 13,364,644",9,TẬP177
Kamen Rider Zeztz,https://animevietsub.show/phim/kamen-rider-zeztz-a5767/,"Lượt xem: 32,767",9.5,TẬP02
Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,https://animevietsub.show/phim/clevatess-majuu-no-ou-to-akago-to-shikabane-no-yuusha-a5653/,"Lượt xem: 1,425,225",9.6,HOÀNTẤT
