job_title,company,salary,location,posted,job_url,company_url,source_page,summary
Senior Software Developer (Java/ .NET/ Node.Js),,,,,https://www.topcv.vn/viec-lam/senior-software-developer-java-net-node-js/1882412.html?ta_source=SpotlightCompanyInSearchList_LinkDetail,https://www.topcv.vn/cong-ty/tek-experts-vietnam/21670.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc Participate in the full software development lifecycle: requirements analysis, design, development, testing, and deployment. Communicate with project managers or clients to understand project goals and provide status updates. Collaborate with cross-functional teams to deliver high-quality code on time. Contribute to system design and architecture discussions. Perform code reviews and provide technical guidance to junior developers. Work effectively in distributed, remote, or hybrid team environments. Follow development best practices and help improve internal processes. Yêu cầu ứng viên 5+ years of experience in software development (e.g., Java, .NET, Node.js, Angular, etc.). Professional fluency in English, both written and spoken, to read documentation, join team calls, and communicate tasks clearly. Experience working in or with software outsourcing/offshore delivery teams. Familiarity with Agile methodologies (Scrum, Kanban, etc.). Good problem-solving skills and at"
Customer Support Executive (Fluent In English And Korean),,,,,https://www.topcv.vn/viec-lam/customer-support-executive-fluent-in-english-and-korean/1872303.html?ta_source=SpotlightCompanyInSearchList_LinkDetail,https://www.topcv.vn/cong-ty/tek-experts-vietnam/21670.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc Resolution Customer Acts as a primary contact for moderate to highly complex issues for customers. Communicates with customers to understand their issues and improve their experience. Effective end-to-end escalation management, driving fast and accurate resolutions for our customers. Leads strategic projects designed to improve resolution times and customer satisfaction and increase efficiency. Set and manage support expectations with customers. Escalation Handling Drive high-risk issues to resolution by establishing clear communication channels, documenting and tracking agreed actions, and maintaining an orchestration role across multiple stakeholders. Understand the cause of the issue, its business impact, and level of urgency from Customer and other stakeholders. Process Improvement Identifies systematic issues and process breakdowns. Pushes creative thinking beyond closed boundaries to come up with process improvements and new ways to delight customers. Creates an e"
Customer Support Executive (Fluent In English And Mandarin/Cantonese),,,,,https://www.topcv.vn/viec-lam/customer-support-executive-fluent-in-english-and-mandarin-cantonese/1872284.html?ta_source=SpotlightCompanyInSearchList_LinkDetail,https://www.topcv.vn/cong-ty/tek-experts-vietnam/21670.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc Resolution Customer Acts as a primary contact for moderate to highly complex issues for customers. Communicates with customers to understand their issues and improve their experience. Effective end-to-end escalation management, driving fast and accurate resolutions for our customers. Leads strategic projects designed to improve resolution times and customer satisfaction and increase efficiency. Set and manage support expectations with customers. Escalation Handling Drive high-risk issues to resolution by establishing clear communication channels, documenting and tracking agreed actions, and maintaining an orchestration role across multiple stakeholders. Understand the cause of the issue, its business impact, and level of urgency from Customer and other stakeholders. Process Improvement Identifies systematic issues and process breakdowns. Pushes creative thinking beyond closed boundaries to come up with process improvements and new ways to delight customers. Creates an e"
Chuyên Viên Phân Tích Công Nghệ/Middle BA,,,,,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-cong-nghe-middle-ba/1883006.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/cong-ty-tnhh-truong-doanh-nhan-hbr/165142.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc 1. Nghiên cứu & Đề xuất công cụ AI Khảo sát, đánh giá và lựa chọn các công cụ AI phù hợp cho từng phòng ban. Đưa ra đề xuất tối ưu dựa trên hiệu quả, chi phí và khả năng ứng dụng thực tế. 2. Thử nghiệm & Đóng gói giải pháp Thiết kế quy trình thử nghiệm AI theo từng nghiệp vụ cụ thể. Phối hợp cùng các team liên quan để test, lấy feedback và tinh chỉnh trước khi triển khai chính thức. 3. Theo dõi tiến độ & Tối ưu ứng dụng AI Làm việc trực tiếp với các lead phòng ban để đảm bảo tiến độ triển khai theo kế hoạch. Báo cáo định kỳ, đánh giá hiệu quả và đề xuất cải tiến kịp thời. 4. Đóng gói & Triển khai cho khách hàng Hoàn thiện quy trình AI nội bộ trước khi thương mại hóa sản phẩm. Đồng hành cùng team Kinh doanh trong việc giới thiệu, triển khai cho khách hàng. Hỗ trợ khách hàng sử dụng, ghi nhận phản hồi để tối ưu sản phẩm. 5. Báo cáo & Phát triển sản phẩm Cập nhật tiến độ nghiên cứu, thử nghiệm và triển khai hàng tuần. Đánh giá hiệu quả thực thi, đưa ra định hướng tiếp theo"
Trợ Lý Công Nghệ/Senior BA,,,,,https://www.topcv.vn/viec-lam/tro-ly-cong-nghe-senior-ba/1882982.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dau-tu-giao-duc-va-phat-trien-cong-nghe-quoc-te-langmaster/56.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc 1.1. Nghiên cứu và đề xuất công cụ AI: - Tìm hiểu và đánh giá các công cụ AI tiềm năng, phù hợp với từng phòng ban trong công ty. - Đề xuất các công cụ AI tốt nhất dựa trên hiệu quả, chi phí, và tính ứng dụng. 1.2. Thử nghiệm và đóng gói giải pháp AI: - Thiết kế quy trình thử nghiệm các công cụ AI trên các quy trình cụ thể của từng phòng ban. - Phối hợp với các team liên quan để thử nghiệm, thu thập phản hồi và điều chỉnh các giải pháp AI trước khi đóng gói. 1.3. Theo dõi và đảm bảo tiến độ ứng dụng AI: - Phối hợp với các lead của các phòng ban để theo dõi và đôn đốc tiến độ triển khai AI theo kế hoạch. - Cập nhật tình hình hàng tuần, đánh giá kết quả và đưa ra đề xuất cải thiện khi cần thiết. 1.4. Đóng gói và triển khai sản phẩm AI cho khách hàng: - Hoàn thiện quy trình ứng dụng AI nội bộ trước khi đóng gói sản phẩm. - Phối hợp với đội ngũ kinh doanh giới thiệu và triển khai sản phẩm AI cho khách hàng bên ngoài. - Hỗ trợ khách hàng cài đặt, sử dụng sản phẩm AI, thu thậ"
Embedded Linux Engineer - Kỹ Sư Lập Trình Nhúng,,,,,https://www.topcv.vn/viec-lam/embedded-linux-engineer-ky-su-lap-trinh-nhung/1479744.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/fpt-software/201091.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc Tham gia vào toàn bộ quá trình nghiên cứu phát triển sản phẩm thiết bị, phần mềm và nền tảng cloud, IoT, AI. Tham gia phân tích yêu cầu, thiết kế kiến trúc hệ thống, thiết kế phần mềm nhúng. Chịu trách nhiệm phát triển firmware thiết bị, phần mềm nhúng, core AI. Phối hợp với các thành viên trong dự án để đảm bảo dự án thành công và đúng tiến độ. Nghiên cứu và áp dụng các công nghệ mới Yêu cầu ứng viên Tốt nghiệp Đại học chuyên ngành Điện tử viễn thông, CNTT hoặc các chuyên ngành liên quan. Có tối thiểu 2 năm kinh nghiệm ở vị trí lập trình nhúng, IoT hoặc vi điều khiển. Nắm vững và sử dụng thành thạo C/C++ và Shell. Có khả năng lập trình Java, Python là lợi thế. Có kiến thức và khả năng lập trình nâng cao: socket, multi-thread, child-process, inter-process communication. Có kiến thức và kinh nghiệm làm việc với Linux Kernel, Drivers. Có kiến thức cơ bản về Networking. Thành thạo các công cụ quản lý soucrce code: GIT Am hiểu về quy trình phát triển phần mềm, có kiến thức "
Senior Embedded Engineer - Signing Bonus Up To 60M,,,,,https://www.topcv.vn/viec-lam/senior-embedded-engineer-signing-bonus-up-to-60m/1880014.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dich-vu-cong-nghe-tin-hoc-hpt/141408.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc ABOUT FPT SOFTWARE FPT Software, a subsidiary of FPT Group, is a leading global IT service provider headquartered in Vietnam. With 33,000+ employees in 88 offices across 30 countries, we serve 1,100+ clients, including 96 Fortune 500 companies. We believe diversity fuels innovation and strive to create an inclusive workplace where talents of all backgrounds thrive. We welcome expatriates and international professionals to bring fresh perspectives and help shape the future of technology JOB OVERVIEW • AUTOSAR BSW platform development & verification with ETAS ISOLAR Technology cover • Common communication protocol such as: CAN, ETH, LIN, DIAG • ASPICE / Functional safety • AUTOSAR Classic (Rte, Os, Crypto, etc.) RESPONSIBILITIES We define the role as following: Specific activities • Working on project related AUTOSAR platform-based ETAS ISOLAR for OBC, DCDC, ICCU • Collaborate with customer project team in Korea to define technical problems and solutions, define quality o"
Embedded Engineer,,,,,https://www.topcv.vn/viec-lam/embedded-engineer/1878871.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/cong-ty-co-phan-gremsy/168246.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc ● Phát triển middleware, system service và application layer trên Embedded Linux (Yocto/Buildroot). ● Bring-up và tùy chỉnh Linux kernel, cấu hình và tích hợp driver (V4L2, ISP, peripheral). ● Thiết kế và triển khai API điều khiển (focus/ zoom/ iris), quản lý peripheral qua I2C, SPI, UART, PWM. ● Kết nối camera với flight controller (MAVLink, OSDK, CAN) và tối ưu video streaming với latency thấp. ● Tích hợp camera với gimbal, ground station, expose API điều khiển từ xa. ● Debug và tối ưu hệ thống (latency, memory, CPU, power), profiling hiệu suất, log analysis. ● Phối hợp với các cross-team để đảm bảo hệ thống hoạt động ổn định, hiệu suất cao. Yêu cầu ứng viên ● Tốt nghiệp đại học chuyên ngành Điện tử – Viễn thông, Kỹ thuật Máy tính, Tự động hóa, Cơ điện tử hoặc tương đương. ● Ít nhất 2 năm kinh nghiệm trong lập trình nhúng, đặc biệt là phát triển phần mềm trên các nền tảng Linux Embedded: Yocto, Buildroot, U-Boot, Device Tree. ● Thành thạo trong việc lập trình với C, C"
Senior Embedded Engineer,,,,,https://www.topcv.vn/viec-lam/senior-embedded-engineer/1876454.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/cong-ty-tnhh-mijo-connected-vietnam/235474.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc Are you passionate about embedded systems and excited about building the future of autonomous vehicles? Join Kaii Soft, a dynamic software company partnering with top-tier Korean firms to develop cutting-edge embedded systems for self-driving cars. We’re looking for experienced Embedded Software Engineers who love problem-solving, working close to hardware, and growing in a global tech environment. What You’ll Do Develop Linux BSP (Board Support Package) based on Renesas ARM CPU Perform hardware bring-up, Linux porting, and bootloader setup (e.g., U-Boot) Develop Linux device drivers and integrate/test on real hardware Support documentation and collaborate cross-functionally Handle additional embedded tasks as assigned Yêu cầu ứng viên What We Expect Bachelor's degree in Computer Science, Information Technology, or related fields 5+ years of experience in embedded Linux, BSP, bootloaders, and driver development Strong skills in C/C++ and Python Experience with Yocto or "
Embedded Solution Architect,,,,,https://www.topcv.vn/viec-lam/embedded-solution-architect/1830103.html?ta_source=JobSearchList_LinkDetail&u_sr_id=NG2oi8jNCcIbnA9ztpjkmehBf5JtL6QNtKyGg2UC_1758443071,https://www.topcv.vn/cong-ty/fpt-software/3.html,https://www.topcv.vn/tim-viec-lam-lap-trinh-nhung?sba=1,"Mô tả công việc ABOUT FPT SOFTWARE FPT Software, a subsidiary of FPT Group, is a leading global IT service provider headquartered in Vietnam. With 33,000+ employees in 88 offices across 30 countries, we serve 1,100+ clients, including 96 Fortune 500 companies. We believe diversity fuels innovation and strive to create an inclusive workplace where talents of all backgrounds thrive. We welcome expatriates and international professionals to bring fresh perspectives and help shape the future of technology. RESPONSIBILITIES • You will take part in multi-million project for high-profile customer, which are automotive industry leaders Japan. • You will design solutions for embedded software used in a car such as Autosar software. • You have a great career advance to expand your horizon not only in automotive industry but also the international working experience. Yêu cầu ứng viên Technical Expertise • 5+ years experience in Embedded C programming on ARM Cortex-M4/M7 microcontrollers • 3+ year"
