mean_data_usage,mean_exec_time,total_calls,total_success,mean_data_usage,mean_exec_time,total_calls,total_success,mean_data_usage,mean_exec_time,total_calls,total_success,mean_data_usage,mean_exec_time,total_calls,total_success,mean_data_usage,mean_exec_time,total_calls,total_success,mean_data_usage,mean_exec_time,total_calls,total_success,mean_data_usage,mean_exec_time,total_calls,total_success,mean_data_usage,mean_exec_time,total_calls,total_success,mean_data_usage,mean_exec_time,total_calls,total_success,mean_data_usage,mean_exec_time,total_calls,total_success,mean_data_usage,mean_exec_time,total_calls,total_success
0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,11,11,11,11
1262.3851190476191,63.0,26,26,533.6061767037329,62.0,516,516,657.930806007008,63.9614836789553,65227,65227,0.0,0.0,0,0,1164.0,0.0,1,0,2122.224308723787,62.0,885,885,0.0,0.0,0,0,604.0874245976436,63.0,33514,33514,742.8904761904762,62.0,15,15,0.0,0.0,0,0,953.5559978831149,63.0,85332,85332
1302.4444444444443,63.0,5,5,531.123644411631,62.0,489,489,660.4233179030659,63.96547801441055,78355,78355,0.0,0.0,0,0,1164.0,0.0,1,0,3986.795115539875,62.0,904,904,624.25,62.0,4,4,602.8860294287558,63.0,40086,40086,392.8373015873016,62.0,29,29,0.0,0.0,0,0,986.3442584562413,63.0,104457,104457
1644.45,63.0,11,11,539.0822756968641,62.0,204,204,670.1688662010074,63.9600292185882,68015,68015,0.0,0.0,0,0,0.0,0.0,0,0,2101.298467313257,62.0,938,938,515.0,62.0,2,2,601.3730821009743,63.0,35514,35514,402.5416666666667,62.0,7,7,0.0,0.0,0,0,966.0797160708341,63.0,87505,87505
1790.3333333333333,63.0,3,3,433.3295766733267,62.0,58,58,667.7774453010941,63.969741575037055,60923,60923,1468.0,60.0,1,0,0.0,0.0,0,0,2537.869237956136,62.0,967,967,505.6666666666667,62.0,3,3,600.1497337309812,63.0,28375,28375,367.0,62.0,5,5,0.0,0.0,0,0,944.3526139342983,62.99998625996153,77612,77612
1502.925,63.0,16,16,530.9828476215685,62.0,395,395,676.4640324613167,63.96142610169718,57323,57323,1468.0,60.0,1,0,0.0,0.0,0,0,929.4831115396279,62.0,797,797,515.5,62.0,2,2,606.8799002272151,63.0,31459,31459,504.35209235209237,62.0,35,35,0.0,0.0,0,0,943.9671178496276,63.0,75295,75295
1440.1666666666665,63.0,18,18,532.9729427764162,62.0,600,600,660.362188445547,63.92349277370782,67661,67661,0.0,0.0,0,0,0.0,0.0,0,0,2874.360460372831,62.0,921,921,487.0,62.0,1,1,603.6079390489289,63.0,37875,37875,608.9557387057387,62.0,47,47,0.0,0.0,0,0,949.1729674840356,62.999971059581085,88519,88519
2040.3166666666666,63.0,10,10,552.0209187572434,62.0,611,611,658.404629662811,63.94131749960519,70786,70786,0.0,0.0,0,0,1164.0,0.0,1,0,2962.982032961843,62.0,856,856,0.0,0.0,0,0,603.6000414843504,63.0,38648,38648,358.44444444444446,62.0,29,29,0.0,0.0,0,0,965.6607238319611,63.0,94338,94338
1300.7916666666667,63.0,9,9,530.7622094543696,62.0,387,387,654.2065311343513,63.910884725995274,68287,68287,1468.0,60.0,1,0,0.0,0.0,0,0,1810.4723462010525,62.0,948,948,625.5,62.0,4,4,604.2713862671521,63.0,38507,38507,409.99571428571426,62.0,26,26,0.0,0.0,0,0,944.8609585086821,63.0,90866,90866
1232.5,63.0,4,4,608.3492424242424,62.0,70,70,656.1199539205131,63.9309850901082,61859,61859,1468.0,60.0,1,0,0.0,0.0,0,0,2147.435909025368,62.0,807,807,487.0,62.0,1,1,601.2667484614943,63.0,34670,34670,434.2896825396826,62.0,28,28,775.0,63.0,1,1,935.1862520207666,62.99995455404466,80478,80478
